CompanyName,Symbol,MarketCapitalization(%),StockPrice(Rs),Allocations
RELIANCE IND.,RELIANCEEQ,10.2,2585,8.0
TCS,TCSEQ,4.5,3795,2.0
HDFC Bank,HDFCBANKEQ,15.2,1710,18.0
ICICI Bank,ICICIBANKEQ,8.2,996,16.0
INFOSYS,INFYEQ,6.4,1543,8.0
BHARTI AIRTEL,BHARTIARTLEQ,3.3,1033,6.0
HINDUSTAN UNILEVER,HINDUNILVREQ,2.8,2663,2.0
ITC,ITCEQ,6.8,462,29.0
SBI,SBINEQ,2.9,642,9.0
L&T,LTEQ,5.7,3527,3.0
BAJAJ FINANCE,BAJAJFINANCEEQ,2.3,7327,1.0
HCL TECHNOLOGIES,HCLTECHEQ,1.8,1466,2.0
KOTAK MAHINDRA BANK,KOTAKBANKEQ,3.3,1908,3.0
AXIS BANK,AXISBANKEQ,3.7,1103,7.0
TITAN,TITANEQ,1.8,3676,1.0
MARUTI SUZUKI,MARUTIEQ,1.7,10299,0.0
ASIAN PAINTS,ASIANPAINTEQ,1.8,3402,1.0
SUN PHARMA,SUNPHARMAEQ,1.6,1260,3.0
NTPC,NTPCEQ,1.7,311,11.0
BAJAJ FINSERV,BAJAJFINSVEQ,1.2,1685,1.0
ULTRATECH CEMENT,ULTRACEMCOEQ,1.4,10503,0.0
NESTLE,NESTLEINDEQ,1.1,26505,0.0
TATA MOTORS,TATAMOTORSEQ,1.6,780,4.0
WIPRO,WIPROEQ,0.8,472,3.0
POWER GRID,POWERGRIDEQ,1.3,237,11.0
M&M,M&MEQ,2.0,1726,2.0
JSW STEEL,JSWSTEELEQ,1.4,880,3.0
TATA STEEL,TATASTEELEQ,1.3,139,19.0
TECH MAHINDRA,TECHMEQ,0.9,1273,1.0
INDUSIND BANK,INDUSINDBKEQ,1.2,1598,2.0
