CompanyName,Symbol,Prev Allocation,New Allocation,Change in Allocation
Microsoft Corp,MSFT,13.0,14.0,1.0
Apple Inc.,AAPL,26.0,--,--
Nvidia Corp,NVDA,4.0,--,--
Amazon.com Inc,AMZN,16.0,18.0,2.0
"Meta Platforms, Inc. Class A",META,4.0,4.0,0.0
Alphabet Inc. Class A,GOOGL,11.0,11.0,0.0
Berkshire Hathaway Class B,BRK.B,3.0,4.0,1.0
Alphabet Inc. Class C,GOOG,9.0,10.0,1.0
Eli Lilly & Co.,LLY,1.0,2.0,1.0
Broadcom Inc.,AVGO,1.0,1.0,0.0
Jpmorgan Chase & Co.,JPM,5.0,6.0,1.0
Visa Inc.,V,3.0,3.0,0.0
Exxon Mobil Corporation,XOM,7.0,8.0,1.0
Mastercard Incorporated,MA,1.0,2.0,1.0
Johnson & Johnson,JNJ,4.0,5.0,1.0
Procter & Gamble Company,PG,4.0,5.0,1.0
"Home Depot, Inc.",HD,2.0,2.0,0.0
"Merck & Co., Inc.",MRK,4.0,5.0,1.0
Costco Wholesale Corp,COST,1.0,1.0,0.0
Abbvie Inc.,ABBV,3.0,3.0,0.0
Advanced Micro Devices,AMD,3.0,3.0,0.0
"Salesforce, Inc.",CRM,2.0,2.0,0.0
Chevron Corporation,CVX,3.0,3.0,0.0
Netflix Inc,NFLX,1.0,1.0,0.0
Walmart Inc.,WMT,7.0,8.0,1.0
Coca-Cola Company,KO,7.0,8.0,1.0
Accenture Plc,ACN,1.0,--,--
Bank of America Corporation,BAC,12.0,13.0,1.0
"Pepsico, Inc.",PEP,2.0,2,--
"Thermo Fisher Scientific, Inc.",TMO,1.0,1.0,0.0
Linde Plc,LIN,1.0,1.0,0.0
Mcdonald's Corporation,MCD,1.0,--,--
Abbott Laboratories,ABT,3.0,--,--
"Cisco Systems, Inc.",CSCO,7.0,--,--
The Walt Disney Company,DIS,3.0,4.0,1.0
Wells Fargo & Co.,WFC,6.0,7.0,1.0
Intuit Inc,INTU,0.0,--,--
Oracle Corp,ORCL,3.0,--,--
Qualcomm Inc,QCOM,2.0,--,--
International Business Machines Corporation,IBM,2.0,--,--
